fold_id,model_type,seed,sample_id,chromosome,motif_start,motif_end,motif_strand,motif_relative_score,strong_hit_080,motif_mass_fraction,top7_motif_recall,weighted_distance_to_motif,circular_control_mass_fraction,motif_mass_enrichment_vs_circular
fold_a,CNN-Aug,42,ENCFF148JKK:10557,chr17,90,97,-,0.8342254144890079,True,0.24267190470462224,0.8571428571428571,60.38616695386883,0.025762462843688702,9.41959261336973
fold_a,CNN-Aug,42,ENCFF148JKK:11004,chr1,167,174,+,0.9698314132220124,True,0.06393281403295437,0.0,60.07763700803687,0.021872366731099553,2.9229947915078864
fold_a,CNN-Aug,42,ENCFF148JKK:11815,chr1,128,135,+,0.9698314132220124,True,0.31244872987524114,0.7142857142857143,48.81621497344603,0.02113501074209146,14.783466811918077
fold_a,CNN-Aug,42,ENCFF148JKK:11989,chr1,74,81,-,0.9698314132220124,True,0.16315302316289898,0.7142857142857143,60.33214326437752,0.024058015337383058,6.781649312085199
fold_a,CNN-Aug,42,ENCFF148JKK:12238,chr1,109,116,+,0.9698314132220124,True,0.3966409862207212,0.7142857142857143,33.49084142869071,0.02302576994244461,17.225959749105808
fold_a,CNN-Aug,42,ENCFF148JKK:1274,chr1,20,27,+,0.718938163499549,False,0.11037051135106289,0.2857142857142857,113.76278048545181,0.012844051736427702,8.593122607723167
fold_a,CNN-Aug,42,ENCFF148JKK:13217,chr17,52,59,-,0.8643940012669953,True,0.08683927939394502,0.14285714285714285,95.07940989152718,0.03257165366259457,2.6660998024079947
fold_a,CNN-Aug,42,ENCFF148JKK:13351,chr1,66,73,-,0.8643940012669953,True,0.010867408140067054,0.0,73.43440176309333,0.030350829512821986,0.35805967462853094
fold_a,CNN-Aug,42,ENCFF148JKK:13583,chr1,122,129,-,0.9698314132220124,True,0.14370193407357598,0.2857142857142857,34.78008735606127,0.029482161716496154,4.874199370298225
fold_a,CNN-Aug,42,ENCFF148JKK:13765,chr1,186,193,-,0.8625646014227104,True,0.14500058558305026,0.42857142857142855,58.56843169971796,0.022350499792244585,6.4875768743822055
fold_a,CNN-Aug,42,ENCFF148JKK:13971,chr16,161,168,-,0.8978698624752371,True,0.014420632795484436,0.0,74.15736943320371,0.022453286218159604,0.6422504329821184
fold_a,CNN-Aug,42,ENCFF148JKK:1407,chr1,63,70,-,0.7585592931454146,False,0.028737090307566174,0.0,68.29515461662608,0.025448676692027116,1.1292174699429183
fold_a,CNN-Aug,42,ENCFF148JKK:14272,chr1,147,154,+,0.9698314132220124,True,0.2921716346350444,0.8571428571428571,47.463349111683776,0.022319044353643666,13.090687486686514
fold_a,CNN-Aug,42,ENCFF148JKK:14328,chr1,118,125,+,0.9698314132220124,True,0.17999513181436674,0.42857142857142855,31.371716178627363,0.023245509700733247,7.7432215568363745
fold_a,CNN-Aug,42,ENCFF148JKK:14545,chr16,92,99,+,0.9698314132220124,True,0.09412970034856762,0.0,58.23510707420724,0.023147425354691345,4.066530031146212
fold_a,CNN-Aug,42,ENCFF148JKK:1753,chr17,247,254,+,0.7227918043219376,False,0.053932472984542124,0.14285714285714285,118.05858256267005,0.02801885033416181,1.9248638806134486
fold_a,CNN-Aug,42,ENCFF148JKK:1923,chr17,71,78,-,0.7770393947166989,False,0.02734233801979,0.0,67.71196966448245,0.027266715973533515,1.002773419664102
fold_a,CNN-Aug,42,ENCFF148JKK:1953,chr1,49,56,+,0.7774522387332831,False,0.02961603519378109,0.14285714285714285,76.3807342146913,0.02764056941589797,1.071469793120358
fold_a,CNN-Aug,42,ENCFF148JKK:2417,chr1,0,7,-,0.8828598264768451,True,0.019838134902450875,0.0,122.95479750130461,0.026370582591624926,0.7522827693898313
fold_a,CNN-Aug,42,ENCFF148JKK:2538,chr16,50,57,-,0.893134349792984,True,0.10745595160677616,0.2857142857142857,79.27702381752583,0.02681884894223374,4.006732423089078
fold_a,CNN-Aug,42,ENCFF148JKK:2883,chr1,150,157,+,0.8397698382294303,True,0.09179937434043081,0.14285714285714285,53.246210617111835,0.024203467625690915,3.7928191017963813
fold_a,CNN-Aug,42,ENCFF148JKK:3628,chr1,31,38,-,0.8629657630149966,True,0.284206133269534,0.8571428571428571,61.69019877036756,0.021413369882469675,13.272368376833715
fold_a,CNN-Aug,42,ENCFF148JKK:4248,chr1,198,205,+,0.8778326924731494,True,0.014060174252576232,0.0,112.51466966416808,0.029115075679716752,0.48291731772386787
fold_a,CNN-Aug,42,ENCFF148JKK:4285,chr17,78,85,+,0.8978698624752371,True,0.008133351808623297,0.0,116.91338107021855,0.027643138154464293,0.2942267901414002
fold_a,CNN-Aug,42,ENCFF148JKK:4717,chr1,105,112,-,0.9698314132220124,True,0.19879227391954096,0.2857142857142857,68.95153851663297,0.025560565194262256,7.777303530211653
fold_a,CNN-Aug,42,ENCFF148JKK:4723,chr17,35,42,+,0.8547098789468857,True,0.05709883440651182,0.14285714285714285,68.25542448165612,0.023136326374576043,2.467930019748354
fold_a,CNN-Aug,42,ENCFF148JKK:498,chr16,239,246,+,0.7618510197256483,False,0.012097911110430438,0.0,120.61097112636817,0.027152309928536202,0.4455573445600635
fold_a,CNN-Aug,42,ENCFF148JKK:5086,chr1,221,228,-,0.9698314132220124,True,0.3465208268204759,1.0,48.073796266007164,0.02472468762749762,14.015175117322492
fold_a,CNN-Aug,42,ENCFF148JKK:5088,chr17,94,101,-,0.8978698624752371,True,0.3049863782052033,0.8571428571428571,40.27352187793948,0.025762822224472084,11.838236337146983
fold_a,CNN-Aug,42,ENCFF148JKK:5573,chr16,195,202,-,0.8547098789468857,True,0.06859088266910926,0.14285714285714285,71.29606056945843,0.02447098532342367,2.8029473175096853
fold_a,CNN-Aug,42,ENCFF148JKK:5610,chr17,40,47,-,0.8494137894800587,True,0.03102813667152646,0.0,101.82602098305374,0.019342405851184515,1.604150844018523
fold_a,CNN-Aug,42,ENCFF148JKK:6602,chr17,166,173,+,0.8625646014227104,True,0.4261109436605082,1.0,33.67725684803814,0.01875001614849886,22.72589742247358
